ausg_beityp,ausg_emp,ausg_degr,ausg_hoefl,ausg_ehrl,ausg_posemo,ausg_negemo,ausg_humor,ausg_frage,ausg_korr,ausg_zus,ausg_meta,ausg_mod
11,0,3,0,0,0,11,0,0,0,0,0,0
212,0,0,0,0,0,0,0,13,0,0,0,0
211,0,0,0,0,0,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0,13,0,0,0,0
11,0,3,0,0,0,11,0,0,0,0,0,0
11,0,0,0,0,0,0,1,0,0,0,0,0
11,0,0,0,0,0,0,1,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0
11,0,3,0,0,0,0,0,12,0,0,0,0
12,0,0,0,0,0,11,0,0,0,0,0,0
12,0,3,0,0,0,0,0,13,0,0,0,0
12,0,0,0,0,0,0,0,11,0,0,0,0
12,0,0,0,0,0,0,0,11,0,0,0,0
11,0,3,0,0,0,0,0,0,0,0,0,0
11,0,3,0,0,0,0,0,0,0,0,0,0
212,0,0,0,0,0,0,1,13,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,13,0,0,0,0,0,0,0
11,0,0,0,0,13,0,0,0,0,0,0,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
12,0,3,0,0,0,0,0,11,0,0,0,0
12,0,3,0,0,0,0,0,11,0,0,0,0
212,0,0,0,0,0,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0,0,0,0,0,0
222,0,0,0,0,0,11,0,13,0,0,0,0
12,0,1,0,0,0,0,0,13,0,0,12,0
12,0,1,0,0,0,0,0,13,0,0,12,0
12,0,1,0,0,0,0,0,13,0,0,12,0
,,,,,,,,,,,,
211,0,0,0,0,0,12,0,0,0,0,12,0
202,0,0,0,0,0,0,0,12,0,0,0,0
202,0,0,0,0,0,0,0,12,0,0,0,0
12,0,1,0,0,0,0,0,13,0,0,12,0
211,0,1,0,0,0,0,0,0,0,0,0,0
201,0,0,0,0,0,0,0,12,0,0,0,0
211,0,0,0,0,0,0,0,0,0,0,12,0
211,0,0,0,0,0,0,0,0,0,0,0,0
202,0,0,0,0,0,0,0,0,0,0,0,0
201,0,0,0,0,0,0,1,0,0,0,0,0
12,0,0,1,0,0,0,0,0,0,0,20,0
12,0,0,1,0,0,0,0,0,0,0,20,0
211,0,3,0,0,0,12,0,0,0,0,0,0
12,0,0,1,0,0,0,0,0,0,0,20,0
11,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0
